"","production_year","country_of_origin","mileage","aso_serviced","power","title","color","brand","metallic","price","first_registration","version","location","collision_free","model","type","fuel_type","lat","lon"
"37",2000,"",213000,"","69 KM","Toyota Corolla 1.9 TDI","Bordowy","Toyota","",5400,"","Seria E11 (1997-2002)","Tarnowska 140 A - 33-300 Nowy Sacz, Malopolskie","","Corolla","Hatchback","Diesel",49.6502349,20.6914969
"38",2004,"",120000,"","116 KM","Toyota Corolla Toyota Corolla 2004 Okazja!!!","Czarny","Toyota","Tak",11000,"","Seria E12 (2001-2007)","Siedlce","Tak","Corolla","Hatchback","Diesel",52.1676031,22.2901645
"39",2002,"Poland",232577,"Tak","97 KM","Toyota Corolla Serwisowana w ASO, udokumentowana historia, zadbana","Zielony","Toyota","",10500,"kwiecien 2002","Seria E12 (2001-2007)","Wroclaw","Tak","Corolla","Hatchback","Benzyna",51.1078852,17.0385376
"40",1991,"",119500,"","75 KM","Toyota Corolla E9 COMPACT Legendarna 1.3 75KM OKAZJA","Czerwony","Toyota","",2100,"","Seria E9 (1987-1992)","Czechowice-Dziedzice","","Corolla","Hatchback","Benzyna",49.9016056,18.9917676
"41",1998,"Poland",290000,"","86 KM","Toyota Corolla Niezawodny Japonczyk -Krajowy","Bialy","Toyota","",4600,"","Seria E11 (1997-2002)","NIEPODLEGLOSCI 2 - 42-480 Poreba, zawiercianski, Slaskie","Tak","Corolla","Kombi","Benzyna",50.486143,19.321517
"42",2004,"Germany",143708,"","110 KM","Toyota Corolla Vvti","Niebieski","Toyota","Tak",14900,"wrzesien 2004","Seria E12 (2001-2007)","Katowicka 233 - 43-450 Ustron, cieszynski, Slaskie","Tak","Corolla","Kombi","Benzyna",49.7576825,18.802355
"43",2003,"Poland",160000,"","97 KM","Toyota Corolla 1,4 97 KM 2003, Salon Polska, Faktura VAT","Czerwony","Toyota","Tak",10900,"grudzien 2013","Seria E12 (2001-2007)","Kraków","Tak","Corolla","Hatchback","Benzyna",50.0646501,19.9449799
"44",2002,"Austria",136000,"Tak","90 KM","Toyota Corolla 2,0 DiD","Srebrny","Toyota","Tak",13600,"listopad 2002","Seria E12 (2001-2007)","Makowska 18 - 34-200 Sucha Beskidzka, suski, Malopolskie","Tak","Corolla","Hatchback","Diesel",49.7358959,19.616816
"45",2002,"Germany",170000,"Tak","97 KM","Toyota Corolla 1.4VVTi Klima super stan","Srebrny","Toyota","Tak",7700,"","Seria E11 (1997-2002)","Milczanska 31c parking TESCO - 70-107 Szczecin, Zachodniopomorskie","Tak","Corolla","Hatchback","Benzyna",53.4090309,14.5216021
"46",2002,"",217000,"Tak","110 KM","Toyota Corolla 2.0 D4D Klima, Ekonomiczny, Extra Stan !!","Szary","Toyota","Tak",13500,"","Seria E12 (2001-2007)","CHELM  ul.Chemiczna 11b  LUBLIN  Trasa Dorohusk - 22-100 Chelm, Lubelskie","","Corolla","Sedan/Limuzyna","Diesel",51.1431232,23.4711986
"47",2004,"Germany",226140,"Tak","116 KM","Toyota Corolla sprzedam","Srebrny","Toyota","",16900,"marzec 2015","Seria E12 (2001-2007)","Radomsko","Tak","Corolla","Hatchback","Diesel",51.0668544,19.4449387
"48",2003,"",182000,"Tak","110 KM","Toyota Corolla 1.6 ""SOL"", 100% oryginal, klimatronik ASO, stan ideal!","Szary","Toyota","Tak",17500,"","Seria E12 (2001-2007)","Pradnicka 44a - 31-202 Kraków, Krowodrza","Tak","Corolla","Hatchback","Benzyna",50.0843544,19.9380273
"49",2005,"Germany",134000,"Tak","97 KM","Toyota Corolla KLIMATRONIC po LIFCIE z Niemiec po oplatach","Niebieski","Toyota","Tak",15400,"wrzesien 2005","Seria E12 (2001-2007)","Puszczykowo - 62-040 Puszczykowo, poznanski, Wielkopolskie","Tak","Corolla","Hatchback","Benzyna",52.2866049,16.8494869
"50",1998,"",175000,"","72 KM","Toyota Corolla 2.0 DIESEL Extra Stan Super Cena!!!","Niebieski","Toyota","Tak",5400,"","Seria E11 (1997-2002)","CHELM  ul.Chemiczna 11b  LUBLIN  Trasa Dorohusk - 22-100 Chelm, Lubelskie","","Corolla","Hatchback","Diesel",51.1431232,23.4711986
"51",2002,"Germany",244979,"Tak","90 KM","Toyota Corolla 2,0 D4d*Klima*Serwis*Z Niemiec*Oplacona*GWARANCJA!!","Inny kolor","Toyota","Tak",13300,"","Seria E12 (2001-2007)","Kochanowskiego 13 - 73-110 Stargard Szczecinski, stargardzki, Zachodniopomorskie","Tak","Corolla","Kombi","Diesel",53.3436791,15.0436052
"52",2005,"Germany",125160,"Tak","110 KM","Toyota Corolla Toyota Corolla FL! Alu! Stan BDB! Z Niemiec!","Zloty","Toyota","Tak",17800,"","Seria E12 (2001-2007)","Radom - 26-600 Radom, Mazowieckie","Tak","Corolla","Hatchback","Benzyna",51.4027236,21.1471333
"53",2005,"",120000,"Tak","116 KM","Toyota Corolla Gwarancja","Srebrny","Toyota","",20900,"","Seria E12 (2001-2007)","Krasne, przy trasie E40 - 36-007 Krasne, rzeszowski, Podkarpackie","Tak","Corolla","Hatchback","Diesel",50.0409223,22.0864131
"54",2002,"",208000,"","110 KM","Toyota Corolla 2.0 D4D 110KM Klima Komp Alufelgi 5 drzwi Zadbana Kola lato + zima","Czarny","Toyota","Tak",12400,"czerwiec 2002","Seria E12 (2001-2007)","UL. BIELSKA OBOK NR. 1145 - 43-374 Buczkowice, bielski, Slaskie","","Corolla","Hatchback","Diesel",49.7285832,19.0692075
"55",2003,"Poland",230000,"Tak","120 KM","Toyota Corolla Toyota Corolla Combi stan bardzo dobry, bezwypadkowy","Bialy","Toyota","",9900,"sierpien 2003","Seria E12 (2001-2007)","Gdynia","Tak","Corolla","Kombi","Benzyna",54.5188898,18.5305409
"56",2005,"Germany",160000,"Tak","97 KM","Toyota Corolla z Niemiec","Srebrny","Toyota","Tak",18800,"","Seria E12 (2001-2007)","Skorzeszyce","Tak","Corolla","Hatchback","Benzyna",50.8304646,20.8798202
"57",2003,"Poland",169000,"","98 KM","Toyota Corolla autko z polskiego salonu","Srebrny","Toyota","Tak",12900,"","Seria E12 (2001-2007)","Osieciny","","Corolla","Sedan/Limuzyna","Benzyna+LPG",52.6282252,18.7271241
"58",2005,"Germany",153000,"","110 KM","Toyota Corolla Stan idealny bezwypadek Gwarancja","Srebrny","Toyota","Tak",22800,"","Seria E12 (2001-2007)","ELEKTRYCZNA 2 - 33-100 Tarnów, Malopolskie","Tak","Corolla","Hatchback","Benzyna",50.032047,20.9686889
"59",2005,"",138000,"Tak","110 KM","Toyota Corolla Stan Idealny Gwarancja pelna dkoumentacja oryginalny lakier","Srebrny","Toyota","",22900,"","Seria E12 (2001-2007)","ELEKTRYCZNA 2 - 33-100 Tarnów, Malopolskie","Tak","Corolla","Hatchback","Benzyna",50.032047,20.9686889
"60",2004,"Poland",1,"Tak","90 KM","Toyota Corolla BARDZO DOBRY GAZ sekwencyjny salonowy","Czerwony","Toyota","",13700,"","Seria E12 (2001-2007)","BIALYSTOK-POROSLY KOL.wylot na Warszawe - 16-070 Porosly-Kolonia, bialostocki, Podlaskie","","Corolla","Sedan/Limuzyna","Benzyna+LPG",53.1537339,23.0550715
"61",2005,"",92000,"Tak","110 KM","Toyota Corolla Bezwypadkowy-92tys km-Serwis ASO TOYOTA-Zadbany-1.6i 110km","Srebrny","Toyota","Tak",16900,"","Seria E12 (2001-2007)",". - 32-600 Oswiecim, oswiecimski, Malopolskie","Tak","Corolla","Kombi","Benzyna",50.0343982,19.2097782
"62",2004,"",143560,"","97 KM","Toyota Corolla 1.4 VVTi","Czerwony","Toyota","",12490,"","Seria E12 (2001-2007)","ul. Golisza 6 - 71-682 Szczecin, Zachodniopomorskie","Tak","Corolla","Hatchback","Benzyna",53.4539663,14.5689635
"63",2004,"",272414,"Tak","115 KM","Toyota Corolla Volvo V40 1,9D 115KM JEDEN WLASCICIEL,Navi, Xenon, Bezwypadkowy, NAP","Srebrny","Toyota","Tak",11000,"","Seria E12 (2001-2007)","Siedlce","Tak","Corolla","Kombi","Diesel",52.1676031,22.2901645
"64",2000,"",203000,"","90 KM","Toyota Corolla 1.4 benzyna sliczna","Srebrny","Toyota","Tak",6800,"","Seria E11 (1997-2002)","Kraków","","Corolla","Hatchback","Benzyna",50.0646501,19.9449799
"65",2005,"",105000,"","130 KM","Toyota Corolla 1,8 GAZ delikatnie uszkodzony przód, jezdzi","Brazowy","Toyota","Tak",9100,"","Seria E12 (2001-2007)","ul.Jasnogórska 38 - 31-358 Kraków, Malopolskie","","Corolla","Sedan/Limuzyna","Benzyna+LPG",50.0968464,19.8913341
"66",2005,"",108000,"Tak","97 KM","Toyota Corolla Klimatronik 5 drzwi Lift","Inny kolor","Toyota","Tak",17900,"","Seria E12 (2001-2007)","Poznanska 109 - 62-200 Gniezno, gnieznienski, Wielkopolskie","Tak","Corolla","Hatchback","Benzyna",52.5319085,17.5530046
"67",2004,"Wlochy",169000,"","116 KM","Toyota Corolla 2.0 Diesel Klimatronic Oplacona","Inny kolor","Toyota","",14800,"","Seria E12 (2001-2007)","SZOSA TORUNSKA  51 - 86-300 Grudziadz, Kujawsko-pomorskie","","Corolla","Hatchback","Diesel",53.4312844,18.7240382
"68",2005,"",179964,"","","Toyota Corolla 2.0 D4D Super Okazja","Szary","Toyota","",13900,"marzec 2005","Seria E12 (2001-2007)","Wilanów 30b - 28-300 Jedrzejów, jedrzejowski, Swietokrzyskie","","Corolla","Hatchback","Diesel",50.6657419,20.289651
"69",2004,"Poland",163000,"","97 KM","Toyota Corolla TOYOTA COROLLA 1,4 VVT-i Polski Salon","Srebrny","Toyota","Tak",14500,"kwiecien 2004","Seria E12 (2001-2007)","Warszawa","","Corolla","Hatchback","Benzyna",52.2296756,21.0122287
